Scenario,Pattern,Text Length,Algorithm,Matches,Build Time (ms),Match Time (ms),Total Time (ms),Memory Used (KB),Structure Nodes,Structure Size (KB)
Complex Regex - Alternation,(cat|dog|bird),1024,NFA+DFA-cache (with prefilter),2,0.122,0.517,0.638,44928.00,35,0.61
Complex Regex - Alternation,(cat|dog|bird),1024,DFA (with prefilter),2,0.235,0.067,0.302,83088.00,22,0.29
Complex Regex - Alternation,(cat|dog|bird),1024,min-DFA (with prefilter),2,0.403,0.163,0.567,141704.00,20,0.26
Complex Regex - Multiple Operators,(a|b).*c,1024,NFA,9,0.045,1.465,1.510,14096.00,12,0.28
Complex Regex - Multiple Operators,(a|b).*c,1024,NFA+DFA-cache,9,0.049,1.842,1.891,12552.00,12,0.28
Complex Regex - Multiple Operators,(a|b).*c,1024,DFA,9,0.116,0.131,0.247,47184.00,5,0.17
Complex Regex - Multiple Operators,(a|b).*c,1024,min-DFA,9,0.186,0.118,0.305,65088.00,3,0.12
Complex Regex,(a|b)*c(d|e)*,1024,NFA,19,0.093,1.117,1.211,20800.00,18,0.43
Complex Regex,(a|b)*c(d|e)*,1024,NFA+DFA-cache,19,0.056,2.258,2.314,19136.00,18,0.43
Complex Regex,(a|b)*c(d|e)*,1024,DFA,19,0.140,0.099,0.238,75576.00,6,0.19
Complex Regex,(a|b)*c(d|e)*,1024,min-DFA,19,0.222,0.091,0.313,88464.00,2,0.10
Very complex Regex,((t|T)(h|H)(e|E)( )*(m|M)(a|A)(n|N))|((s|S)(h|H)(e|E)( )*(s|S)(a|A)(i|I)(d|D))|((w|W)(a|A)(s|S)( )*(a|A)(l|L)(o|O)(n|N)(e|E))|((t|T)(h|H)(e|E)( )*(e|E)(n|N)(d|D)),1024,NFA,0,0.445,2.582,3.027,373832.00,184,4.52
Very complex Regex,((t|T)(h|H)(e|E)( )*(m|M)(a|A)(n|N))|((s|S)(h|H)(e|E)( )*(s|S)(a|A)(i|I)(d|D))|((w|W)(a|A)(s|S)( )*(a|A)(l|L)(o|O)(n|N)(e|E))|((t|T)(h|H)(e|E)( )*(e|E)(n|N)(d|D)),1024,NFA+DFA-cache,0,0.405,4.547,4.951,369800.00,184,4.52
Very complex Regex,((t|T)(h|H)(e|E)( )*(m|M)(a|A)(n|N))|((s|S)(h|H)(e|E)( )*(s|S)(a|A)(i|I)(d|D))|((w|W)(a|A)(s|S)( )*(a|A)(l|L)(o|O)(n|N)(e|E))|((t|T)(h|H)(e|E)( )*(e|E)(n|N)(d|D)),1024,DFA,0,0.978,0.180,1.158,783728.00,52,1.28
